id;affiliate_member_login_id;affiliate_member_password;affiliate_member_name;affiliate_member_phone_num;affiliate_member_memo;push_token;create_dt;update_dt;affiliate_member_state;affiliate_id
1;mobile Fish;Home Loan Account Table Computer;Trace;Savings Account alarm;Tasty Metal Bacon;red Chips Soap;2020-02-09T05:03:58;2020-02-08T21:41:18;ABNORMAL;52477
2;enable Gorgeous Frozen Pants;Common;Savings Account syndicate Planner;Refined Rubber Chicken Table;Automotive;Planner cross-platform access;2020-02-09T10:01:26;2020-02-09T06:49:36;ABNORMAL;83319
3;Salad;Digitized invoice;convergence;Mayotte;Industrial;connect Markets Chief;2020-02-08T22:01:07;2020-02-08T18:54:49;DELETE;96117
4;navigating;interactive generating compelling;Home Loan Account;Plastic;Car Industrial deliverables;orange Books;2020-02-08T16:47:49;2020-02-09T07:35:45;DELETE;92630
5;deposit Internal;Investment Account archive Fantastic Plastic Chicken;payment;withdrawal COM;embrace Developer;synthesize Idaho compress;2020-02-09T00:31:01;2020-02-09T11:23:51;ABNORMAL;43933
6;red;withdrawal knowledge base Buckinghamshire;Concrete Investment Account Saint Lucia;User-centric;Money Market Account;Salad Web virtual;2020-02-08T21:09:59;2020-02-09T09:50:10;NORMAL;88328
7;projection Fresh;support Gorgeous;withdrawal;copying;ability Hat Iraq;magenta Concrete;2020-02-09T04:15:55;2020-02-09T06:30:32;ABNORMAL;40383
8;Tasty Concrete Chips Exclusive;Buckinghamshire capability zero tolerance;mission-critical;Berkshire Small Plastic Pants Investor;Canadian Dollar;Berkshire Designer;2020-02-09T06:33:31;2020-02-08T22:08:36;DELETE;80313
9;Point Orchestrator;Solomon Islands Licensed;Gloves Bedfordshire Argentine Peso;Kentucky Algerian Dinar Clothing;open-source turn-key;Sausages;2020-02-08T19:47:08;2020-02-09T02:49:35;NORMAL;67569
10;bandwidth azure;SMS Enhanced;Bacon Designer;Equatorial Guinea Vision-oriented;Agent;Human deposit;2020-02-09T04:13:53;2020-02-09T05:40:30;DELETE;85632
