id;invite_name;apply_card_dt;manager_name;accommodation_name;manager_phone_num;apply_amount_num;manager_id;accommodation_id;apply_invite_card_state
1;mobile Fish;2020-02-09T17:10:51;Savings Account Dam;Practical Fresh Pants;Metal deposit;5641;96990;72199;WAITING
2;methodology Albania;2020-02-10T01:31:36;intangible;enable Gorgeous Frozen Pants;Common;78517;61838;19967;DELETE
3;HDD;2020-02-09T19:33:58;Centers;Factors;South Dakota envisioneer Music;23089;68423;24102;DELETE
4;Games Regional Digitized;2020-02-09T19:59:34;hardware Costa Rica Mayotte;Industrial;connect Markets Chief;59789;72727;92187;WAITING
5;Aruba;2020-02-09T12:49:31;navigating;interactive generating compelling;Home Loan Account;27599;14092;29627;DELETE
6;orange Books;2020-02-09T16:19:21;monitor;1080p Checking Account Identity;Frozen IB;62329;44945;33089;WAITING
7;payment;2020-02-09T21:42:08;tangible Mississippi;Frozen bus;hard drive Robust Networked;4043;52273;71066;WAITING
8;Outdoors;2020-02-09T20:37:10;knowledge base Buckinghamshire;Concrete Investment Account Saint Lucia;User-centric;7697;59886;28975;WAITING
9;Refined Squares;2020-02-10T06:39:03;e-business;Ghana back-end National;Direct;27213;22793;64769;WAITING
10;Games;2020-02-09T23:38:08;supply-chains magenta;encompassing;Directives;32320;21876;51879;APPROVE
